"IBGE","Cidade","Estado","Sigla","Pais"
"5200050","Abadia de Goiás","Goiás","GO","Brasil"
"2409704","Pedro Avelino","Rio Grande do Norte","RN","Brasil"
"2924207","Pedro Alexandre","Bahia","BA","Brasil"
"1716505","Pedro Afonso","Tocantins","TO","Brasil"
"3149200","Pedrinópolis","Minas Gerais","MG","Brasil"
"3537156","Pedrinhas Paulista","São Paulo","SP","Brasil"
"2805109","Pedrinhas","Sergipe","SE","Brasil"
"2108207","Pedreiras","Maranhão","MA","Brasil"
"3537107","Pedreira","São Paulo","SP","Brasil"
"3537008","Pedregulho","São Paulo","SP","Brasil"
"4212403","Pedras Grandes","Santa Catarina","SC","Brasil"
"3149150","Pedras de Maria da Cruz","Minas Gerais","MG","Brasil"
"2511202","Pedras de Fogo","Paraíba","PB","Brasil"
"4314175","Pedras Altas","Rio Grande do Sul","RS","Brasil"
"2924108","Pedrão","Bahia","BA","Brasil"
"3536901","Pedranópolis","São Paulo","SP","Brasil"
"3149101","Pedralva","Minas Gerais","MG","Brasil"
"2409605","Pedra Preta","Rio Grande do Norte","RN","Brasil"
"3204054","Pedro Canário","Espírito Santo","ES","Brasil"
"3537206","Pedro de Toledo","São Paulo","SP","Brasil"
"2108256","Pedro do Rosário","Maranhão","MA","Brasil"
"5006408","Pedro Gomes","Mato Grosso do Sul","MS","Brasil"
"4212502","Penha","Santa Catarina","SC","Brasil"
"2706703","Penedo","Alagoas","AL","Brasil"
"2409902","Pendências","Rio Grande do Norte","RN","Brasil"
"3537305","Penápolis","São Paulo","SP","Brasil"
"2108306","Penalva","Maranhão","MA","Brasil"
"2310605","Penaforte","Ceará","CE","Brasil"
"4314407","Pelotas","Rio Grande do Sul","RS","Brasil"
"4314308","Pejuçara","Rio Grande do Sul","RS","Brasil"
"5106372","Pedra Preta","Mato Grosso","MT","Brasil"
"5106422","Peixoto de Azevedo","Mato Grosso","MT","Brasil"
"1716604","Peixe","Tocantins","TO","Brasil"
"2409803","Pedro Velho","Rio Grande do Norte","RN","Brasil"
"3149408","Pedro Teixeira","Minas Gerais","MG","Brasil"
"2512721","Pedro Régis","Paraíba","PB","Brasil"
"4314209","Pedro Osório","Rio Grande do Sul","RS","Brasil"
"3149309","Pedro Leopoldo","Minas Gerais","MG","Brasil"
"2207934","Pedro Laurentino","Piauí","PI","Brasil"
"2207900","Pedro II","Piauí","PI","Brasil"
"1505601","Peixe-Boi","Pará","PA","Brasil"
"2310704","Pentecoste","Ceará","CE","Brasil"
"2805000","Pedra Mole","Sergipe","SE","Brasil"
"2409506","Pedra Grande","Rio Grande do Norte","RN","Brasil"
"4314134","Paulo Bento","Rio Grande do Sul","RS","Brasil"
"2924009","Paulo Afonso","Bahia","BA","Brasil"
"3148400","Paulistas","Minas Gerais","MG","Brasil"
"3536570","Paulistânia","São Paulo","SP","Brasil"
"2207801","Paulistana","Piauí","PI","Brasil"
"2610707","Paulista","Pernambuco","PE","Brasil"
"2510907","Paulista","Paraíba","PB","Brasil"
"2108058","Paulino Neves","Maranhão","MA","Brasil"
"3536505","Paulínia","São Paulo","SP","Brasil"
"3536406","Paulicéia","São Paulo","SP","Brasil"
"4118600","Paula Freitas","Paraná","PR","Brasil"
"3148301","Paula Cândido","Minas Gerais","MG","Brasil"
"1303502","Pauini","Amazonas","AM","Brasil"
"2610608","Paudalho","Pernambuco","PE","Brasil"
"2409407","Pau dos Ferros","Rio Grande do Norte","RN","Brasil"
"2207793","Pau dArco do Piauí","Piauí","PI","Brasil"
